WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1728343.45705 5942145.9004)",112200,Parakai,1.45487644,1.45487644,-36.65763462475692,174.43599288870635,1728343.4570615555,5942145.900417043,1728343.45705,5942145.9004
"POINT (1731432.19835 5938768.8729)",112300,Helensville Rural,56.92000174,56.92000174,-36.68764660858672,174.47112097281433,1731432.1983564075,5938768.87292401,1731432.19835,5938768.8729
"POINT (1729946.39655 5940198.276)",112400,Helensville,3.36589337,3.36589337,-36.674969114155886,174.45425270965808,1729946.3965282745,5940198.276003786,1729946.39655,5940198.276
"POINT (1741630.7265 5944187.94185)",112500,Waitoki,40.75614317,40.75614317,-36.637347888413174,174.58423366125382,1741630.7265055627,5944187.941872922,1741630.7265,5944187.94185
"POINT (1735379.86925 5936238.90005)",112600,Waikoukou Valley,52.85457437,52.85457437,-36.709891977701105,174.51574111095272,1735379.869230849,5936238.900048579,1735379.86925,5936238.90005
"POINT (1749932.0894 5950290.20105)",112700,Orewa North,3.0420027,3.0420027,-36.58108868542659,174.67586441889318,1749932.0893978372,5950290.201044575,1749932.0894,5950290.20105
"POINT (1751160.7656 5951497.07935)",112800,Hatfields Beach,0.92325465,0.92325465,-36.57001948629587,174.68935556596307,1751160.7655859196,5951497.079373669,1751160.7656,5951497.07935
"POINT (1750189.92595 5949184.1472)",112900,Orewa South,2.31157328,2.31157328,-36.5910149867099,174.67896117029144,1750189.9259559792,5949184.147183504,1750189.92595,5949184.1472
"POINT (1751583.1509 5949575.9)",113000,Orewa Central,1.4528948,1.4528948,-36.587264483082826,174.6944525897027,1751583.150892565,5949575.899987368,1751583.1509,5949575.9
"POINT (1749571.5915 5948031.57085)",113100,Millwater North,1.75214746,1.75214746,-36.60149823153633,174.67227570309325,1749571.591498544,5948031.570846651,1749571.5915,5948031.57085
"POINT (1728943.7291 5928413.57955)",113200,Waipatukahu,52.05992298,52.05992298,-36.78130895482142,174.44502390294465,1728943.729106842,5928413.579547698,1728943.7291,5928413.57955
"POINT (1749347.8878 5946835.664)",113300,Millwater South,2.41101686,2.41101686,-36.612309836736905,174.67000793584157,1749347.887798217,5946835.664018384,1749347.8878,5946835.664
"POINT (1747831.2509 5943268.06795)",113400,Dairy Flat North,22.96899875,22.96899875,-36.644694700608696,174.65374224173652,1747831.2508931232,5943268.067973057,1747831.2509,5943268.06795
"POINT (1744668.22015 5940402.32255)",113500,Dairy Flat West,30.9797789,30.9797789,-36.67100482018187,174.61891208909594,1744668.2201371428,5940402.322557249,1744668.22015,5940402.32255
"POINT (1750836.3368 5947502.74985)",113600,Kingsway,0.9031104,0.9031104,-36.6060642710337,174.68651434613068,1750836.3367857272,5947502.749851473,1750836.3368,5947502.74985
"POINT (1740592.285 5935628.2613)",113700,Riverhead Forest,48.42764364,48.42764364,-36.71463744847226,174.5741930784261,1740592.2849776985,5935628.261291904,1740592.285,5935628.2613
